CFG,CFG_MEAN,CFG_SD,FFC_MEAN,FFC_SD,CFG_BEI,CFG_BEF,E1 BF,E1 ST,E1 FFC,E2 BF,E2 ST,E2 FFC,E3 BF,E3 ST,E3 FFC,E4 BF,E4 ST,E4 FFC,E5 BF,E5 ST,E5 FFC,E6 BF,E6 ST,E6 FFC,E7 BF,E7 ST,E7 FFC,E8 BF,E8 ST,E8 FFC,E9 BF,E9 ST,E9 FFC,E10 BF,E10 ST,E10 FFC,problemSize,popSize,combProb,mutProb,selectAlgo,recombineAlgo,bitFlappingAlgo,fitnessFunction,maxGenEvol
1,6.4,1.624807680927192,271,90.0,2,10,5,MAX_EVOL_LEVEL_REACHED,301,10,BEST_SOLUTION_FOUND,1,5,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,8,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,8,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,spc,bfp,onemax,300
2,4.4,1.019803902718557,301,0.0,5,6,3,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,spc,bfp,trap,300
3,0.3,0.45825756949558394,211,137.4772708486752,1,1,1,BEST_SOLUTION_FOUND,1,1,BEST_SOLUTION_FOUND,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,1,BEST_SOLUTION_FOUND,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,spc,bfp,peak,300
4,5.7,1.1,301,0.0,4,8,7,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,8,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,uc,bfp,onemax,300
5,8.6,10.00199980003999,241,120.0,8,29,3,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,29,BEST_SOLUTION_FOUND,1,28,BEST_SOLUTION_FOUND,1,3,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,uc,bfp,trap,300
6,0.1,0.30000000000000004,271,90.0,3,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,1,BEST_SOLUTION_FOUND,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,fitprop,uc,bfp,peak,300
7,4.4,1.3564659966250536,301,0.0,4,6,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,bintour,spc,bfp,onemax,300
8,3.8,1.661324772583615,301,0.0,2,6,4,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,5,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,bintour,spc,bfp,trap,300
9,0.1,0.30000000000000004,271,90.0,4,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,1,BEST_SOLUTION_FOUND,1,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,0,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,bintour,spc,bfp,peak,300
10,4.6,1.7435595774162693,301,0.0,4,7,4,MAX_EVOL_LEVEL_REACHED,301,4,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,7,MAX_EVOL_LEVEL_REACHED,301,3,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,6,MAX_EVOL_LEVEL_REACHED,301,2,MAX_EVOL_LEVEL_REACHED,301,2,MAX_EVOL_LEVEL_REACHED,301,10,50,0.5,0.1,bintour,uc,bfp,onemax,300
